composition,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,V,Co,Nb+Ta,Fe
TdB,0.34,1.21,0.79,0.015,0.011,12.06,25.46,0.02,0.03,0.02,0.005,,0.098,,0.22,0.002,59.719
TdC,0.41,1.21,1.37,0.016,0.016,12.15,24.85,0.02,0.01,0,0.04,,0.038,,0.32,0,59.55
TdD,0.34,1.08,1.28,0.017,0.014,13.04,25.72,0.11,0.16,0.03,0.01341,,0.113,,0.23,0,57.85259
TdE,0.34,1.34,1.18,0.02,0.013,11.87,24.49,0.027,0.049,0.017,0.038,,0.119,,0.31,0.002,60.185
TAA,0.43,1.03,1.09,0.012,0.018,20.33,24.98,0.32,0.011,0.06,0.079,0.0006,0.053,,0.047,,51.5394
TAB,0.44,0.87,1.07,0.012,0.019,20.83,24.8,0.36,0.015,0.044,0.035,0.0008,0.049,,0.052,,51.4032
TAC,0.41,0.79,0.82,0.013,0.008,21.2,25.45,0.01,0.069,0.01,0.002,0.0003,0.09,,0.052,,51.0757
TAD,0.43,0.92,0.92,0.016,0.005,20.9,25.1,0.01,0.058,0.01,0.002,0.0003,0.07,,0.046,,51.5127
TAE,0.35,1.1,1.38,0.015,0.008,20.74,25.18,0.03,0.015,0.01,0.002,0.0006,0.037,,0.031,,51.1014
TAF,0.37,1.24,1.41,0.014,0.011,20.66,25.12,0.02,0.015,0.01,0.002,0.0007,0.034,,0.043,,51.0503
TAG,0.36,0.92,1.02,0.016,0.013,21.42,25.21,0.03,0.053,0.01,0.002,0.0002,0.107,,0.007,,50.8318
TAH,0.37,1.16,1.23,0.015,0.014,22.13,25.29,0.01,0.042,0.01,0.002,0.0002,0.054,,0.002,,49.6708
TAJ,0.38,0.82,0.75,0.014,0.024,21.82,24.8,0.08,0.022,0.01,0.002,0.0014,0.0713,,0.013,,51.1923
TAL,0.4,0.87,0.84,0.014,0.017,21.8,24,0.08,0.056,0.01,0.002,0.0011,0.0429,,0.017,,51.85
TAM,0.4,1.27,1.56,0.016,0.008,20.69,25.96,0.07,0.079,0.01,0.002,0.0004,0.048,,0.017,,49.8696
TAN,0.35,1.19,1.64,0.02,0.007,20.91,25.57,0.13,0.073,0.01,0.002,0.0015,0.043,,0.01,,50.0435
TAR,0.41,1.05,0.48,0.015,0.021,22.09,24.49,0.01,0.056,0.01,0.002,0.0007,0.063,,0.022,,51.2803
TAS,0.41,0.99,0.53,0.015,0.025,22.32,25.42,0.01,0.05,0.01,0.002,0.0001,0.063,,0.027,,50.1279
TEA,0.06,0.41,1.25,0.018,0.001,19.84,24.6,,,,,,0.272,,,0.46,53.089
TBA,0.48,0.83,1.01,0.009,0.005,34.47,25.64,0.06,0.03,0,0,,0.079,,0.45,0,36.937
TBB,0.48,0.97,0.81,0.014,0.009,35.63,27.49,0.02,0.01,0.01,0.001,,0.062,,0.17,0.01,34.314
TBC,0.42,0.82,1.02,0.01,0.018,34.4,24.75,0.02,0.04,0,0.004,,0.0503,,0.27,0,38.1777
TBD,0.52,1.61,1.3,0.028,0.012,34.9,24.9,0.06,0.07,0,0.07,,0.042,,0.17,0.07,36.248
TBE,0.43,1.62,1.44,0.012,0.008,35.2,26.28,0,0.01,0,0.04,,0.05,,0.42,0,34.49
TBF,0.47,0.9,0.97,0.008,0.009,35.02,26.11,0.03,0.02,0.02,0.004,,0.064,,0.18,0.02,36.175
